Wall time,Step,Value
1643691959.634511,0,0.3662227690219879
1643691961.543186,1,0.7106537818908691
1643691963.375519,2,0.8916465044021606
1643691965.211645,3,0.9485472440719604
1643691971.069531,4,0.9497578740119934
1643691972.956485,5,0.9742736220359802
1643691974.795972,6,0.98577481508255
1643691976.639262,7,0.980629563331604
1643691978.504033,8,0.998789370059967
1643691980.328851,9,0.9530871510505676
1643691982.149297,10,0.9894067645072937
1643691984.002817,11,0.9900121092796326
1643691985.855057,12,0.9990919828414917
1643691987.734343,13,1.0
1643691989.635104,14,1.0
1643691991.48029,15,1.0
1643691993.324992,16,1.0
1643691995.194828,17,1.0
1643691997.042179,18,1.0
1643691998.88653,19,1.0
1643692000.746725,20,1.0
1643692002.589828,21,1.0
1643692004.462434,22,1.0
1643692006.333777,23,1.0
1643692008.161472,24,1.0
1643692009.987791,25,1.0
1643692011.823524,26,1.0
1643692013.671535,27,1.0
1643692015.525152,28,1.0
1643692017.364393,29,1.0
1643692019.239083,30,1.0
1643692021.114761,31,1.0
1643692022.995903,32,1.0
1643692024.836004,33,1.0
1643692026.677425,34,1.0
1643692028.500234,35,1.0
1643692030.316125,36,1.0
1643692032.126513,37,1.0
1643692033.957863,38,1.0
1643692035.798269,39,1.0
1643692037.639977,40,1.0
1643692039.485955,41,1.0
1643692041.32672,42,1.0
1643692043.189211,43,1.0
1643692045.020007,44,1.0
1643692046.871676,45,1.0
1643692048.78216,46,1.0
1643692050.640241,47,1.0
1643692052.503993,48,1.0
1643692054.332748,49,1.0
1643692056.166658,50,1.0
1643692058.016447,51,1.0
1643692059.864939,52,1.0
1643692061.696939,53,1.0
1643692063.52976,54,1.0
1643692065.370637,55,1.0
1643692067.223731,56,1.0
1643692069.063078,57,1.0
1643692070.883248,58,1.0
1643692072.734877,59,1.0
1643692074.609308,60,1.0
1643692076.43466,61,1.0
1643692078.278452,62,1.0
1643692080.111451,63,1.0
1643692082.116425,64,1.0
1643692083.976985,65,1.0
1643692085.836432,66,1.0
1643692087.668048,67,1.0
1643692089.52227,68,1.0
1643692091.37043,69,1.0
