Wall time,Step,Value
1643691959.634159,0,1.8610525131225586
1643691961.542749,1,0.8961866497993469
1643691963.375049,2,0.3470372259616852
1643691965.211152,3,0.17693565785884857
1643691971.06901,4,0.15585729479789734
1643691972.955691,5,0.08074931800365448
1643691974.795673,6,0.04556584358215332
1643691976.638877,7,0.06854889541864395
1643691978.503522,8,0.009509894996881485
1643691980.328083,9,0.15257702767848969
1643691982.148867,10,0.04215920343995094
1643691983.999129,11,0.033980127424001694
1643691985.854601,12,0.007685709744691849
1643691987.733827,13,0.0017627435736358166
1643691989.634633,14,0.001182334846816957
1643691991.479879,15,0.0009348380845040083
1643691993.32459,16,0.000798424705862999
1643691995.194381,17,0.0006968750385567546
1643691997.041752,18,0.0006148816319182515
1643691998.886143,19,0.000547521747648716
1643692000.746175,20,0.0004907464026473463
1643692002.589502,21,0.0004425115475896746
1643692004.461928,22,0.0004006842791568488
1643692006.333123,23,0.0003641239018179476
1643692008.160798,24,0.00033190278918482363
1643692009.987385,25,0.00030358086223714054
1643692011.822978,26,0.0002784713578876108
1643692013.671019,27,0.00025604755501262844
1643692015.524697,28,0.00023601425345987082
1643692017.363915,29,0.00021792958432342857
1643692019.238578,30,0.00020168811897747219
1643692021.114268,31,0.0001868779945652932
1643692022.995489,32,0.000173294436535798
1643692024.835466,33,0.0001609739993000403
1643692026.676956,34,0.0001496463519288227
1643692028.499799,35,0.00013929535634815693
1643692030.315586,36,0.0001297976850764826
1643692032.125994,37,0.00012110313400626183
1643692033.957427,38,0.00011304970394121483
1643692035.797837,39,0.00010561833914835006
1643692037.639229,40,9.87600942607969e-05
1643692039.485503,41,9.241725638275966e-05
1643692041.326172,42,8.652365795569494e-05
1643692043.188527,43,8.106625318760052e-05
1643692045.019428,44,7.598326919833198e-05
1643692046.871308,45,7.124481635401025e-05
1643692048.781555,46,6.685890548396856e-05
1643692050.639794,47,6.271628808462992e-05
1643692052.503599,48,5.8894471294479445e-05
1643692054.332228,49,5.5316031648544595e-05
1643692056.166199,50,5.200129089644179e-05
1643692058.015958,51,4.888311377726495e-05
1643692059.864491,52,4.595787686412223e-05
1643692061.696473,53,4.320979496696964e-05
1643692063.529229,54,4.0658738726051524e-05
1643692065.37015,55,3.825116436928511e-05
1643692067.223209,56,3.600709169404581e-05
1643692069.062525,57,3.3893440559040755e-05
1643692070.882664,58,3.1919520552037284e-05
1643692072.734291,59,3.0071598303038627e-05
1643692074.608768,60,2.8296901291469112e-05
1643692076.434168,61,2.6665657060220838e-05
1643692078.278037,62,2.5125722459051758e-05
1643692080.110912,63,2.3679862351855263e-05
1643692082.115952,64,2.2317022740026005e-05
1643692083.976495,65,2.1039206330897287e-05
1643692085.836113,66,1.9832026737276465e-05
1643692087.667213,67,1.8703320165514015e-05
1643692089.521787,68,1.7635285985306837e-05
1643692091.369996,69,1.663628063397482e-05
