Wall time,Step,Value
1643634437.315221,0,0.11380144953727722
1643634439.024613,1,0.21791768074035645
1643634440.769106,2,0.36470943689346313
1643634442.504476,3,0.4863801598548889
1643634444.222221,4,0.6177361011505127
1643634445.97624,5,0.7263922691345215
1643634447.707833,6,0.8226392269134521
1643634449.398069,7,0.8937651515007019
1643634451.087781,8,0.9179782271385193
1643634452.788414,9,0.9479418992996216
1643634454.463195,10,0.8946731090545654
1643634456.161831,11,0.9476392269134521
1643634457.842682,12,0.9776028990745544
1643634459.534236,13,0.9815375208854675
1643634461.357697,14,0.9573244452476501
1643634463.05056,15,0.9667070508003235
1643634464.752509,16,0.9812348484992981
1643634466.432282,17,0.9809321761131287
1643634468.118011,18,0.9863801598548889
1643634469.879274,19,0.9912227392196655
1643634471.606858,20,0.9866828322410583
1643634473.302044,21,0.9797215461730957
1643634475.023757,22,0.9651936888694763
1643634476.742746,23,0.994854748249054
1643634478.482836,24,0.9993946552276611
1643634480.181238,25,1.0
1643634481.908703,26,1.0
1643634483.636067,27,1.0
1643634485.320298,28,1.0
1643634487.049142,29,1.0
1643634488.760768,30,1.0
1643634490.472978,31,1.0
1643634492.168549,32,1.0
1643634493.853858,33,1.0
1643634495.55371,34,1.0
1643634497.281202,35,1.0
1643634498.965463,36,1.0
1643634500.659173,37,1.0
1643634502.337822,38,1.0
1643634504.028018,39,1.0
1643634505.735563,40,1.0
1643634507.427826,41,1.0
1643634509.158657,42,1.0
1643634510.87718,43,1.0
1643634512.57561,44,1.0
1643634514.303765,45,1.0
1643634515.989458,46,1.0
1643634517.715551,47,1.0
1643634519.385893,48,1.0
1643634521.070881,49,1.0
1643634522.761482,50,1.0
1643634524.456686,51,1.0
1643634526.161531,52,1.0
1643634527.864135,53,1.0
1643634529.574257,54,1.0
1643634531.299287,55,1.0
1643634532.996902,56,1.0
1643634534.678695,57,1.0
1643634536.371481,58,1.0
1643634538.058272,59,1.0
1643634539.775716,60,1.0
1643634541.459106,61,1.0
1643634543.150134,62,1.0
1643634544.858436,63,1.0
1643634546.592235,64,1.0
1643634548.333478,65,1.0
1643634550.045201,66,1.0
1643634551.756873,67,1.0
1643634553.462607,68,1.0
1643634555.137126,69,1.0
