Wall time,Step,Value
1643692906.481937,0,0.2838982939720154
1643692908.514021,1,0.5977603197097778
1643692910.51673,2,0.8087167143821716
1643692912.585437,3,0.883474588394165
1643692918.404027,4,0.9258474707603455
1643692920.407118,5,0.9503632187843323
1643692922.446961,6,0.9585351347923279
1643692924.44544,7,0.9751815795898438
1643692926.435451,8,0.9830508232116699
1643692928.54874,9,0.9845641851425171
1643692930.556709,10,0.9872881174087524
1643692932.565562,11,0.9851694703102112
1643692934.576618,12,0.981840193271637
1643692936.617284,13,0.9906174540519714
1643692938.618735,14,0.9657990336418152
1643692940.633053,15,0.9927361011505127
1643692942.641798,16,0.9697336554527283
1643692944.681917,17,0.9939467310905457
1643692946.688794,18,0.9891040921211243
1643692948.775034,19,1.0
1643692950.786206,20,1.0
1643692952.801774,21,1.0
1643692954.796133,22,1.0
1643692956.77312,23,1.0
1643692958.763896,24,1.0
1643692960.761788,25,1.0
1643692962.729047,26,1.0
1643692964.737874,27,1.0
1643692966.754809,28,1.0
1643692968.75842,29,1.0
1643692970.768553,30,1.0
1643692972.761438,31,1.0
1643692974.770434,32,1.0
1643692976.803727,33,1.0
1643692978.804776,34,1.0
1643692980.827713,35,1.0
1643692982.869838,36,1.0
1643692984.842071,37,1.0
1643692986.813057,38,1.0
1643692988.79721,39,1.0
1643692990.788671,40,1.0
1643692992.815177,41,1.0
1643692994.805051,42,1.0
1643692996.791161,43,1.0
1643692998.757223,44,1.0
1643693000.720824,45,1.0
1643693002.723899,46,1.0
1643693004.763937,47,1.0
1643693006.790479,48,1.0
1643693008.828145,49,1.0
1643693010.822406,50,1.0
1643693012.822545,51,1.0
1643693014.798029,52,1.0
1643693016.823219,53,1.0
1643693018.885899,54,1.0
1643693020.930551,55,1.0
1643693022.931085,56,1.0
1643693024.948556,57,1.0
1643693026.935113,58,1.0
1643693028.943955,59,1.0
1643693030.936197,60,1.0
1643693032.964805,61,1.0
1643693034.963709,62,1.0
1643693037.033396,63,1.0
1643693039.010099,64,1.0
1643693041.00155,65,1.0
1643693042.987376,66,1.0
1643693044.992455,67,1.0
1643693046.990887,68,1.0
1643693049.139243,69,1.0
