num_units,learning_rate,optimizer,dropout,accuracy,batch_accuracy,batch_loss
64.0,0.0001,sgd,0.1,0.2358757108449936,0.2036924958229065,2.4249298572540283
16.0,0.0001,sgd,0.2,0.2394067794084549,0.22033898532390594,2.4149227142333984
32.0,0.0005,adam,0.1,0.9985875487327576,1.0,0.0012205287348479033
16.0,0.0001,sgd,0.1,0.2577683627605438,0.21700967848300934,2.411620855331421
32.0,0.0005,sgd,0.2,0.33827683329582214,0.3311138153076172,2.124410629272461
32.0,0.0001,rmsprop,0.1,0.9971751570701599,0.9996973276138306,0.0030237617902457714
32.0,0.0001,adam,0.1,0.9992938041687012,1.0,0.004516234155744314
32.0,0.001,adam,0.2,0.9901130199432373,0.9966707229614258,0.011687042191624641
32.0,0.0001,rmsprop,0.2,0.9816384315490723,0.9912227392196655,0.043405551463365555
64.0,0.0001,rmsprop,0.2,0.9936440587043762,0.9933413863182068,0.03226649761199951
32.0,0.0005,adam,0.2,0.9844632744789124,0.9851694703102112,0.06062004342675209
16.0,0.001,adam,0.2,0.07415254414081573,0.0892857164144516,2.4843149185180664
32.0,0.0001,adam,0.2,0.9985875487327576,1.0,0.004144935868680477
32.0,0.0001,sgd,0.2,0.12994350492954254,0.13407990336418152,2.4071409702301025
32.0,0.0005,rmsprop,0.1,0.9816384315490723,0.9863801598548889,0.05573020502924919
16.0,0.0005,rmsprop,0.1,0.07415254414081573,0.0892857164144516,2.4842278957366943
32.0,0.0005,rmsprop,0.2,0.9625706076622009,0.9912227392196655,0.03523242473602295
32.0,0.001,rmsprop,0.2,0.07415254414081573,0.0892857164144516,2.484363079071045
16.0,0.001,rmsprop,0.2,0.07415254414081573,0.0892857164144516,2.484351396560669
16.0,0.001,sgd,0.2,0.3156779706478119,0.319612592458725,2.0093657970428467
64.0,0.0005,adam,0.1,0.9908192157745361,0.9906174540519714,0.032138627022504807
16.0,0.0005,sgd,0.1,0.3608756959438324,0.36985471844673157,2.0754189491271973
32.0,0.0005,sgd,0.1,0.42937853932380676,0.44037529826164246,1.9944114685058594
64.0,0.001,sgd,0.2,0.6687853336334229,0.6467917561531067,1.3560514450073242
32.0,0.001,rmsprop,0.1,0.07415254414081573,0.0892857164144516,2.484384059906006
256.0,0.0001,rmsprop,0.1,0.9950565099716187,0.9918280839920044,0.028776919469237328
256.0,0.0005,adam,0.1,0.9985875487327576,1.0,0.0021726060658693314
64.0,0.001,adam,0.2,0.9872881174087524,0.990314781665802,0.031235698610544205
64.0,0.0005,rmsprop,0.2,0.991525411605835,0.9839588403701782,0.05994272232055664
256.0,0.001,adam,0.1,0.07415254414081573,0.0892857164144516,2.484417676925659
16.0,0.0001,rmsprop,0.2,0.9950565099716187,0.9866828322410583,0.04962383210659027
64.0,0.0005,sgd,0.2,0.42937853932380676,0.43069007992744446,2.0770275592803955
16.0,0.001,rmsprop,0.1,0.07415254414081573,0.0892857164144516,2.4843859672546387
16.0,0.0005,rmsprop,0.2,0.07415254414081573,0.0892857164144516,2.484234094619751
64.0,0.001,sgd,0.1,0.5868644118309021,0.6731234788894653,1.297688603401184
64.0,0.0001,sgd,0.2,0.2528248727321625,0.212772399187088,2.4136803150177
64.0,0.001,adam,0.1,0.9901130199432373,0.9969733953475952,0.012990442104637623
64.0,0.0001,adam,0.1,0.9992938041687012,1.0,0.002132360590621829
16.0,0.0005,adam,0.2,1.0,1.0,0.0011742537608370185
64.0,0.0005,sgd,0.1,0.46680790185928345,0.4373486638069153,2.070545196533203
64.0,0.0001,rmsprop,0.1,0.987994372844696,0.9851694703102112,0.053461380302906036
32.0,0.001,sgd,0.2,0.6807909607887268,0.6213680505752563,1.3861634731292725
64.0,0.001,rmsprop,0.2,0.9887005686759949,0.9884988069534302,0.03989586979150772
32.0,0.0001,sgd,0.1,0.24858756363391876,0.2418280839920044,2.395785093307495
64.0,0.0005,adam,0.2,0.9992938041687012,1.0,0.0006119591416791081
16.0,0.001,sgd,0.1,0.4887005686759949,0.5623486638069153,1.4937552213668823
32.0,0.001,adam,0.1,0.9816384315490723,0.994854748249054,0.017329029738903046
256.0,0.0001,adam,0.1,0.9992938041687012,1.0,0.0076177362352609634
64.0,0.001,rmsprop,0.1,0.9809321761131287,0.9927361011505127,0.030780434608459473
32.0,0.001,sgd,0.1,0.5353107452392578,0.5357142686843872,1.5547600984573364
64.0,0.0001,adam,0.2,1.0,1.0,0.002037622733041644
16.0,0.0001,adam,0.2,0.9978813529014587,1.0,0.00934581458568573
64.0,0.0005,rmsprop,0.1,0.9985875487327576,0.9957627058029175,0.01832958497107029
16.0,0.0005,sgd,0.2,0.23446327447891235,0.20762711763381958,2.200383186340332
